Nome da música,Id da música,Características,Valores
Oriente (Orientate),0xUJu0GIC63LiMderOKO58,Acústica,0.379
Andar Com Fe (Walking In Faith),7tw5SQbbtR0VEkhdLceOVY,Acústica,0.254
Domingo No Parque (Sunday At The Park),7HNwrQAcRK5Vpafie0Ef6V,Acústica,0.33
Aos Pés da Cruz (Ao Vivo),0MiFkU1zy7EMmcEqj5eESP,Acústica,0.859
Você e Eu (Ao Vivo),2qfVKlSZOIMMySd0hH5Mf1,Acústica,0.887
Tim-Tim por Tim-Tim (Ao Vivo),0ecR8sPM42jsxnwXmluYlf,Acústica,0.871
Rosa Morena (Ao Vivo),2ZujRmE0fezFxrkL7ZTyyA,Acústica,0.897
Desde Que o Samba É Samba (Ao Vivo),2nOMf9gajbd2lhZh8dt4FK,Acústica,0.885
Rio Eu Te Amo (Ao Vivo),1jVdfVJt2nYss1IiOzya16,Acústica,0.879
O Pato (Ao Vivo),0QAG76I6YcpQyOzLwBSkmz,Acústica,0.895
Doralice (Ao Vivo),6b4k33T64DR3EPtE2QVJU5,Acústica,0.883
Um Abraço no João (Instrumental) (Ao Vivo),3TnCgYQrtkKNl63eZAYnaV,Acústica,0.893
Gilbertos (Ao Vivo),3MJJ62IUfi66QwW1hcB7V3,Acústica,0.805
Ladeira da Preguiça (Ao Vivo),6iqUyy7LXzwAohfX5KTPQm,Acústica,0.87
Desafinado (Ao Vivo),6701Hhf81jukimZL6dzjV5,Acústica,0.915
Máquina de Ritmo (Ao Vivo),4XdQLs1QnyvnHfzxj0RZ1N,Acústica,0.886
Milagre (Ao Vivo),2jbID8BcYXDeSsLTudhnfJ,Acústica,0.856
Eu Sambo Mesmo (Ao Vivo),5ubWWiO2V3USqh02Qb8IYC,Acústica,0.896
Mancada (Ao Vivo),1QeMtnBSeu5foCU6R2fBCp,Acústica,0.851
Chiclete Com Banana (Ao Vivo),7LEPO37xTNdkXuxFHdJSk4,Acústica,0.851
Meio de Campo (Ao Vivo),0dgxkYu8VJwSfj7IkLP7Tl,Acústica,0.84
Eu Vim da Bahia (Ao Vivo),5fyNDpChrJ3z1RzRKNQ2Ic,Acústica,0.878
Aquele Abraço (Ao Vivo),75Rb5HVEE5woV6ZEoZGt36,Acústica,0.778
É Luxo Só (Ao Vivo),7HmueR7pswLGi0TAaJlpt1,Acústica,0.859
Aos Pés da Cruz,1G3tT3xLodVLyZV7MQDXin,Acústica,0.9
Eu Sambo Mesmo,4eEKpTNiGrJekafRMt9Iau,Acústica,0.923
O Pato,3Vjr3IYUWrhfcM1rmOXaIn,Acústica,0.814
Tim Tim por Tim Tim,7gQKSxjCp5MPBhC0FBY2iq,Acústica,0.722
Desde Que o Samba É Samba,7EduEOcSWBHyELOKLEXxTR,Acústica,0.837
Desafinado,2NlQ5YEjxj2czMPzorxQYl,Acústica,0.898
Milagre,0PqLDmxDUCmpDuwVAQxFWq,Acústica,0.861
Um Abraço no João,1ASsGys2ONZAYv7zqXrV6w,Acústica,0.871
Doralice,4btDwdg9yf5fVBkRtcWxtP,Acústica,0.887
Você e Eu,68pHoYBX4ozlFxHa5ls8ND,Acústica,0.885
Eu Vim da Bahia,2rBViBV2IvjhQqPH6xExki,Acústica,0.89
Gilbertos,1Eo79JvM2tI7bBIUuJFPEq,Acústica,0.841
Máquina de Ritmo - Ao Vivo,7HybeLy6eziDIv816wYSTe,Acústica,0.267
Eu Vim da Bahia / Na Baixa do Sapateiro - Ao Vivo,421ESl4JXmD8D0nrXkKV6w,Acústica,0.539
Estrela - Ao Vivo,3FSI0WIOO7yrPDodSXzVEC,Acústica,0.497
Quanta - Ao Vivo,7LJFKsJEvF0Pkrxe6OoFid,Acústica,0.358
Futurível - Ao Vivo,3SGPJvAQ9IT2knV4P6mXlk,Acústica,0.477
Eu Descobri - Ao Vivo,1cc5ygUyvxByN7XRh5RgAQ,Acústica,0.533
Outra Vez - Ao Vivo,31JxCGnYD7BbA3kl1gaP2b,Acústica,0.567
Juazeiro - Ao Vivo,2EQIPiwRHXztRWMtJbCqss,Acústica,0.112
La Renaissance Africaine - Ao Vivo,6JBCXON7cqg7TGezTq3cVU,Acústica,0.491
Panis Et Circenses - Ao Vivo,4hXx6JaX9elDXmcyGkIjYH,Acústica,0.602
Oriente - Ao Vivo,3F0Tx4xo684S4bOe9RLr6b,Acústica,0.36
Andar Com Fé - Ao Vivo,5vOVD0NUCbGMX7K5qnt4v6,Acústica,0.278
Domingo No Parque - Ao Vivo,2NHI7R579O38lba6MsVgqh,Acústica,0.327
A Novidade - Live,2PyfVkaoyVIFK4KaJHKRSY,Acústica,0.438
Toda Menina Baiana - Live,0drLWHcGw3j6xZKn7zGJ7X,Acústica,0.458
O Meu Amor - Live,7gURhr3HBT28eGxUAZpG9Q,Acústica,0.771
Tá Combinado - Live,0vyxk0KyHWwlLj7hDCXci1,Acústica,0.482
A Linha E O Linho - Live,247w3FqYgXONLXnyLU3EGO,Acústica,0.802
A Luz De Tieta - Live,7DE7v4kw0vAiV5qFBTETH2,Acústica,0.607
Tigresa - Live,4yu3EQwBdwrvU274Bvvcsh,Acústica,0.47
Você É Linda - Live,2E1oY9rvHV5kW1B6UDilVM,Acústica,0.606
Atrás Da Porta - Live,39DOURVX8vz7PwZTMNt3BF,Acústica,0.619
Super Homem (A Canção) - Live,2dts5w4Pk3okj0xPZBHINd,Acústica,0.75
Se Eu Não Te Amasse Tanto Assim - Live,5gc0OywuL1BWNhY01YcIxp,Acústica,0.274
Olhos Nos Olhos - Live,54qLQtveTu29AzufRMT2gk,Acústica,0.635
Drão - Live,13MUJuuiNDtzMUQeevL6hR,Acústica,0.474
Dom De Iludir - Live,0oAzSO5eigzj5TSUpL7Teo,Acústica,0.769
Amor Até O Fim - Live,4VqzpovKFj40UyPet6wakA,Acústica,0.706
Respeita Januário / o Xote das Meninas / Eu Só Quero um Xodó (Ao Vivo),2YSEBaygYPLGiRnKuF1UqF,Acústica,0.484
Lamento Sertanejo (Ao Vivo),3WTKEER1EtrmuBzhhYcOAU,Acústica,0.905
"Um Riacho, um Caminho (Ao Vivo)",3ixwswlPPz6nfMJWtDLlU5,Acústica,0.451
Juazeiro (Ao Vivo),2WZ55Pfo2aCIpBjQvMxVe4,Acústica,0.276
Estrela Azul do Céu (Ao Vivo),2BeiDlQ6EmcSTpm3UXt5gm,Acústica,0.359
Aprendi Com o Rei (Ao Vivo),5P3Wi0zie5nP6wsJM5XvoM,Acústica,0.42
