palavras,repetições
plano,6
polícia,6
inside,6
edé,6
leão,6
hum,6
virar,6
massa,6
quebrar,6
oslo,6
região,6
refestança,6
spent,6
escura,6
amada,6
daí,6
cordão,6
azuis,6
pintar,6
lenda,6
minutos,6
nefasta,6
presa,6
look,6
balafonjá,6
bonsucesso,6
dream,6
kabieci,6
zangado,6
balada,6
favela,6
comida,6
boroboroborobo,6
f7m,6
moleque,6
cupido,6
chamei,6
moinho,6
cuma,6
cultura,6
luas,6
mob,6
saudades,6
coitado,6
vermelho,6
miséria,6
juliana,6
terere,6
mismo,6
saw,6
los,6
kiriê,6
louca,6
sola,6
doulhe,6
loud,6
dera,6
sambe,6
bamba,6
pras,6
depressa,6
salto,6
sofrimento,6
zona,6
cão,6
bobo,6
lampião,6
peste,6
che,6
astronauta,6
morning,6
dourado,6
sodade,6
prefiro,6
bananeira,6
ôiê,6
morto,6
monte,6
dadá,6
ajudar,6
desafinados,6
abertos,6
ensina,6
glasses,6
pronto,6
criar,6
berço,6
share,6
gotta,6
doces,6
grandes,6
saída,6
perceber,6
em7,6
saúde,6
entanto,6
central,6
umbanda,6
doença,6
cristal,6
joga,6
breve,6
face,6
uhou,6
lembrança,6
brasileira,6
pequena,6
people,6
certa,6
vibration,6
sonhei,6
doer,6
volto,6
anil,6
mandar,5
atômico,5
cometa,5
poema,5
parede,5
elétrico,5
provar,5
divertir,5
vender,5
ecô,5
sumiu,5
prefeito,5
dorme,5
enxergar,5
terras,5
consigo,5
vestir,5
pronde,5
precisar,5
iêiê,5
jato,5
ladrão,5
visto,5
capitão,5
aint,5
quisera,5
lábios,5
importa,5
drão,5
tamborim,5
larga,5
pranto,5
chez,5
aguaceiro,5
city,5
terminar,5
difícil,5
parabéns,5
violência,5
voltei,5
especial,5
bater,5
pousar,5
parado,5
arrastando,5
mangueira,5
pendurado,5
indo,5
alagados,5
arrival,5
africa,5
pare,5
sujava,5
pensou,5
vibração,5
eco,5
tio,5
luxo,5
clarear,5
ema,5
errado,5
séculos,5
compaixão,5
procure,5
conheço,5
chamando,5
dono,5
chefe,5
periferia,5
atento,5
food,5
velhas,5
possível,5
pôs,5
cibernética,5
linha,5
pergunto,5
comprar,5
companheiro,5
ensino,5
vista,5
perfeição,5
enlate,5
principia,5
lugares,5
lune,5
verdadeiro,5
cartaz,5
surgiu,5
survival,5
piraí,5
lei,5
atravessar,5
cento,5
epidemia,5
throw,5
admirar,5
escutando,5
castigo,5
profundo,5
queimar,5
barroco,5
veleje,5
choque,5
queijo,5
low,5
plus,5
aguentar,5
clarão,5
doçura,5
floresta,5
ajuda,5
preso,5
dreadlock,5
chapéu,5
kaô,5
popular,5
juízo,5
compreender,5
cena,5
coming,5
afora,5
duvidar,5
perco,5
alive,5
ensinar,5
redentor,5
adeus,5
usar,5
tout,5
apagar,5
famoso,5
far,5
rosinha,5
faria,5
boy,5
botão,5
god,5
tranquilo,5
fará,5
zabumba,5
desaparecida,5
réis,5
sabem,5
ninho,5
abrigo,5
soltas,5
balança,5
gigante,5
bondade,5
solta,5
neve,5
sad,5
morar,5
feia,5
antenas,5
gostoso,5
gostou,5
acabe,5
buda,5
menininha,5
guerreira,5
união,5
guardar,5
country,5
retrato,5
cozinha,5
mereço,5
crazy,5
creio,5
una,5
exu,5
riacho,5
milagre,5
eyes,5
sons,5
brota,5
rindo,5
rios,5
acaso,5
rita,5
gozo,5
falando,5
brilhar,5
criou,5
crioulo,5
bodocó,5
gemeu,5
feio,5
ande,5
berlim,5
trenchtown,5
seda,5
muda,5
mudar,5
segurar,5
andou,5
seio,5
ando,5
multidão,5
namba,5
nagô,5
del,5
moços,5
8,5
trocar,5
sentado,5
sinais,5
sina,5
firmamento,5
beber,5
simplesmente,5
firme,5
triz,5
decidir,5
must,5
much,5
sea,5
forth,5
sofre,5
amiga,5
saldo,5
salvar,5
salvação,5
gato,5
garbo,5
ferida,5
another,5
black,5
shiva,5
zumba,5
mortal,5
tupã,5
figura,5
foguete,5
necessário,5
aberta,5
necessidade,5
motivo,5
navios,5
sobressai,5
fiel,5
traço,5
treat,5
beyond,5
bandas,5
uns,5
tenda,5
xingu,5
idéia,5
tocou,5
va,5
marfim,5
pa,5
convencer,5
avesso,5
pagã,5
rato,5
desses,5
happy,5
cacunda,5
requebrando,5
rasta,5
requebrar,5
onda,5
maracujá,5
omã,5
destinos,5
tonto,5
many,5
apresentar,5
calçada,5
worry,5
hombre,5
called,5
estúpida,5
amado,5
ligeiro,5
matéria,5
high,5
aprendiz,5
herói,5
caminhando,5
soul,5
vais,5
corredor,5
ouviu,5
camisa,5
varanda,5
estado,5
cantava,5
imaginar,5
olorum,5
aperte,5
tornar,5
die,5
esquece,5
costa,5
palma,5
suave,5
palhaço,5
resiste,5
amanhecer,5
resolver,5
tendo,4
termina,4
papa,4
mano,4
nele,4
colorida,4
manso,4
toa,4
muros,4
anjos,4
lights,4
dali,4
devia,4
peso,4
partindo,4
negreiros,4
mostra,4
vil,4
folha,4
morta,4
vain,4
dedo,4
cântico,4
significa,4
trio,4
comando,4
defronte,4
maría,4
pesado,4
passam,4
tomam,4
passada,4
louvando,4
ajude,4
nervoso,4
cérebro,4
loura,4
césar,4
céus,4
toma,4
deixando,4
ouça,4
